“Architect”,INTJ,"Imaginative and strategic thinkers, with a plan for everything."
“Logician”,INTP,Innovative inventors with an unquenchable thirst for knowledge.
“Commander”,ENTJ,"Bold, imaginative and strong-willed leaders, always finding a way – or making one."
“Debater”,ENTP,Smart and curious thinkers who cannot resist an intellectual challenge.
“Advocate”,INFJ,"Quiet and mystical, yet very inspiring and tireless idealists."
“Mediator”,INFP,"Poetic, kind and altruistic people, always eager to help a good cause."
“Protagonist”,ENFJ,"Charismatic and inspiring leaders, able to mesmerize their listeners."
“Campaigner”,ENFP,"Enthusiastic, creative and sociable free spirits, who can always find a reason to smile."
“Logistician”,ISTJ,"Practical and fact-minded individuals, whose reliability cannot be doubted."
“Defender”,ISFJ,"Very dedicated and warm protectors, always ready to defend their loved ones."
“Executive”,ESTJ,"Excellent administrators, unsurpassed at managing things – or people."
“Consul”,ESFJ,"Extraordinarily caring, social and popular people, always eager to help."
“Virtuoso”,ISTP,"Bold and practical experimenters, masters of all kinds of tools."
“Adventurer”,ISFP,"Flexible and charming artists, always ready to explore and experience something new."
“Entrepreneur”,ESTP,"Smart, energetic and very perceptive people, who truly enjoy living on the edge."
“Entertainer”,ESFP,"Spontaneous, energetic and enthusiastic people – life is never boring around them."
