INTJ, Idn, INTJ
INTJ, Qid, INTP
INTJ, Cnt, ENTJ
INTJ, Mrr, ENTP
INTJ, Lkl, INFJ
INTJ, Bn<, INFP
INTJ, Sdl, ENFJ
INTJ, Sp>, ENFP
INTJ, Cmp, ISTJ
INTJ, Ego, ISFJ
INTJ, Ill, ESTJ
INTJ, Dlt, ESFJ
INTJ, Bn>, ISTP
INTJ, Act, ISFP
INTJ, Sp<, ESTP
INTJ, Cnf, ESFP

INTP, Qid, INTJ
INTP, Idn, INTP
INTP, Mrr, ENTJ
INTP, Cnt, ENTP
INTP, Bn>, INFJ
INTP, Cmp, INFP
INTP, Sp<, ENFJ
INTP, Ill, ENFP
INTP, Bn<, ISTJ
INTP, Act, ISFJ
INTP, Sp>, ESTJ
INTP, Cnf, ESFJ
INTP, Lkl, ISTP
INTP, Ego, ISFP
INTP, Sdl, ESTP
INTP, Dlt, ESFP

ENTJ, Cnt, INTJ
ENTJ, Mrr, INTP
ENTJ, Idn, ENTJ
ENTJ, Qid, ENTP
ENTJ, Sdl, INFJ
ENTJ, Sp>, INFP
ENTJ, Lkl, ENFJ
ENTJ, Bn<, ENFP
ENTJ, Ill, ISTJ
ENTJ, Dlt, ISFJ
ENTJ, Cmp, ESTJ
ENTJ, Ego, ESFJ
ENTJ, Sp<, ISTP
ENTJ, Cnf, ISFP
ENTJ, Bn>, ESTP
ENTJ, Act, ESFP

ENTP, Mrr, INTJ
ENTP, Cnt, INTP
ENTP, Qid, ENTJ
ENTP, Idn, ENTP
ENTP, Sp<, INFJ
ENTP, Ill, INFP
ENTP, Bn>, ENFJ
ENTP, Cmp, ENFP
ENTP, Sp>, ISTJ
ENTP, Cnf, ISFJ
ENTP, Bn<, ESTJ
ENTP, Act, ESFJ
ENTP, Sdl, ISTP
ENTP, Dlt, ISFP
ENTP, Lkl, ESTP
ENTP, Ego, ESFP

INFJ, Lkl, INTJ
INFJ, Bn<, INTP
INFJ, Sdl, ENTJ
INFJ, Sp>, ENTP
INFJ, Idn, INFJ
INFJ, Qid, INFP
INFJ, Cnt, ENFJ
INFJ, Mrr, ENFP
INFJ, Ego, ISTJ
INFJ, Cmp, ISFJ
INFJ, Dlt, ESTJ
INFJ, Ill, ESFJ
INFJ, Act, ISTP
INFJ, Bn>, ISFP
INFJ, Cnf, ESTP
INFJ, Sp<, ESFP

INFP, Bn>, INTJ
INFP, Cmp, INTP
INFP, Sp<, ENTJ
INFP, Ill, ENTP
INFP, Qid, INFJ
INFP, Idn, INFP
INFP, Mrr, ENFJ
INFP, Cnt, ENFP
INFP, Act, ISTJ
INFP, Bn<, ISFJ
INFP, Cnf, ESTJ
INFP, Sp>, ESFJ
INFP, Ego, ISTP
INFP, Lkl, ISFP
INFP, Dlt, ESTP
INFP, Sdl, ESFP

ENFJ, Sdl, INTJ
ENFJ, Sp>, INTP
ENFJ, Lkl, ENTJ
ENFJ, Bn<, ENTP
ENFJ, Cnt, INFJ
ENFJ, Mrr, INFP
ENFJ, Idn, ENFJ
ENFJ, Qid, ENFP
ENFJ, Dlt, ISTJ
ENFJ, Ill, ISFJ
ENFJ, Ego, ESTJ
ENFJ, Cmp, ESFJ
ENFJ, Cnf, ISTP
ENFJ, Sp<, ISFP
ENFJ, Act, ESTP
ENFJ, Bn>, ESFP

ENFP, Sp<, INTJ
ENFP, Ill, INTP
ENFP, Bn>, ENTJ
ENFP, Cmp, ENTP
ENFP, Mrr, INFJ
ENFP, Cnt, INFP
ENFP, Qid, ENFJ
ENFP, Idn, ENFP
ENFP, Cnf, ISTJ
ENFP, Sp>, ISFJ
ENFP, Act, ESTJ
ENFP, Bn<, ESFJ
ENFP, Dlt, ISTP
ENFP, Sdl, ISFP
ENFP, Ego, ESTP
ENFP, Lkl, ESFP

ISTJ, Cmp, INTJ
