, ENTP, ISFP, ESFJ, INTJ, ENFJ, ISTJ, ESTP, INFP, ESFP, INTP, ENTJ, ISFJ, ESTJ, INFJ, ENFP, ISTP
ENTP, Idn, Dlt, Act, Mrr, Bn>, Sp>, Lkl, Ill, Ego, Cnt, Qid, Cnf, Bn<, Sp<, CmP, Sdl
ISFP, Dlt, Idn, Mrr, Act, Sp>, Bn>, Ill, Lkl, Cnt, Ego, Cnf, Qid, Sp<, Bn<, Sdl, Cmp
ESFJ, Act, Mrr, Idn, Dlt, CmP, Sdl, Bn<, Sp<, Qid, Cnf, Ego, Cnt, Lkl, Ill, Bn>, Sp>
INTJ, Mrr, Act, Dlt, Idn, Sdl, CmP, Sp<, Bn<, Cnf, Qid, Cnt, Ego, Ill, Lkl, Sp>, Bn>
ENFJ, Bn<, Sp<, CmP, Sdl, Idn, Dlt, Act, Mrr, Bn>, Sp>, Lkl, Ill, Ego, Cnt, Qid, Cnf
ISTJ, Sp<, Bn<, Sdl, CmP, Dlt, Idn, Mrr, Act, Sp>, Bn>, Ill, Lkl, Cnt, Ego, Cnf, Qid
ESTP, Lkl, Ill, Bn>, Sp>, Act, Mrr, Idn, Dlt, CmP, Sdl, Bn<, Sp<, Qid, Cnf, Ego, Cnt
INFP, Ill, Lkl, Sp>, Bn>, Mrr, Act, Dlt, Idn, Sdl, CmP, Sp<, Bn<, Cnf, Qid, Cnt, Ego
ESFP, Ego, Cnt, Qid, Cnf, Bn<, Sp<, CmP, Sdl, Idn, Dlt, Act, Mrr, Bn>, Sp>, Lkl, Ill
INTP, Cnt, Ego, Cnf, Qid, Sp<, Bn<, Sdl, CmP, Dlt, Idn, Mrr, Act, Sp>, Bn>, Ill, Lkl
ENTJ, Qid, Cnf, Ego, Cnt, Lkl, Ill, Bn>, Sp>, Act, Mrr, Idn, Dlt, CmP, Sdl, Bn<, Sp<
ISFJ, Cnf, Qid, Cnt, Ego, Ill, Lkl, Sp>, Bn>, Mrr, Act, Dlt, Idn, Sdl, CmP, Sp<, Bn<
ESTJ, Bn>, Sp>, Lkl, Ill, Ego, Cnt, Qid, Cnf, Bn<, Sp<, CmP, Sdl, Idn, Dlt, Act, Mrr
INFJ, Sp>, Bn>, Ill, Lkl, Cnt, Ego, Cnf, Qid, Sp<, Bn<, Sdl, CmP, Dlt, Idn, Mrr, Act
ENFP, CmP, Sdl, Bn<, Sp<, Qid, Cnf, Ego, Cnt, Lkl, Ill, Bn>, Sp>, Act, Mrr, Idn, Dlt
ISTP, Sdl, CmP, Sp<, Bn<, Cnf, Qid, Cnt, Ego, Ill, Lkl, Sp>, Bn>, Mrr, Act, Dlt, Idn
